ID_Dünger;ID_DuengerArt;Bezeichnung;Duenger_lang;Einheit;Nges_PrzFM;NO3_N_PrzFM;NH4_N_PrzFM;Harnstoff_N_PrzFM;P_PrzFM;K_PrzFM;S_PrzFM;Mg_PrzFM;P2O5_PrzFM;K2O_PrzFM;CaCO3_PRZFM;THG_Faktor;Dichte_kg_je_l;Feldemission-N2O-Faktor;Feldemission-NO-Faktor;Feldemission-NH3-Faktor;Feldemission-organisch-NH3-Faktor;KEA_Biomasse;KEA_Fossil;KEA_Geothermal;KEA_Nuklear;KEA_Primaerwald;KEA_Sonne;KEA_Wasser;KEA_Wind;Summe KEA_Dünger [MJ/kg Dünger];ID_DuengerArt;ID_Frucht;Frucht;ID_Frucht;Fruchtart-Faktor N2O;Fruchtart-Faktor NO;Fruchtart-Faktor NH3
D125;2;PK 20-30;PK 20-30;kg/ha;0;0;0;0;8,72;24,9;0,05;0;19,981008;30,0045;;0,436;1;0;0;0;0;;6,221;;0,376;;;;;6,597;2;;;;;;
D212;2;Rapspower;Rapspower;kg/ha;37;;7;30;;;8;;;;;2,893;1;0,0038;0,0061;-0,748;0;;17,871;;0,233;;;;;18,104;2;;;;;;
D142;1;Rindergülle;Rindergülle;m3/ha;0,4;;0,2;;0,19;0,41;0,41;0,102;0,435366;0,49405;;0;1;0,0038;0,0061;0,995;0,4;0;0;0;0;0;0;0;0;0;1;;;;;;
;1;Schweinegülle ;;m3/ha;0,3;;0,3;;0,35;0,42;0,029;0,082;0,80199;0,5061;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;;;;;;
D137;1;Stallmist (Rind, Lagerung im sommer);Stallmist;kg/ha;0,6;;0,2;;0,1308;0,5395;;0,18;0,29971512;0,6500975;;0;1;0,0038;0,0061;0,995;0,9;0;0;0;0;0;0;0;0;0;1;;;;;;
;1;Stallmist (Rind, Lagerung im winter);Stallmist;kg/ha;0,6;;0,04;;0,1308;0,5395;;0,18;0,29971512;0,6500975;;0;1;0,0038;0,0061;0,995;0,9;0;0;0;0;0;0;0;0;0;1;;;;;;
D121;2;Superphosphat;Superphosphat;kg/ha;0;0;0;0;7,848;0;12;0;17,9829072;0;;0,207;1;0;0;0;0;0,211;5,607;0,029;0,363;0,002;0;0,285;0,052;6,55;2;;;;;;
D146;2;Thomaskal 0-10-15-3;Thomaskali 0-10-15-3;kg/ha;0;0;0;0;4,36421;12,45222;3;1,80911;10,00015079;15,0049251;;0,218;1;0;0;0;0;;3,113;;0,188;;;;;3,301;2;;;;;;
D117;2;Thomaskali 0-10-20;Thomaskali 0-10-20 (3+2);kg/ha;0;0;0;0;4,36;16,6;2;1,809;9,990504;20,003;;0,251;1;0;0;0;0;;3,87;;0,274;;;;;4,144;2;;;;;;
D118;2;Thomaskali 13-30-3;Thomaskali 13-30-3;kg/ha;0;0;0;0;5,668;24,9;2;1,809;12,9876552;30,0045;;0,353;1;0;0;0;0;;5,345;;0,359;;;;;5,704;2;;;;;;
D116;2;Thomaskali 6-16-6;Thomaskali 6-16-6;kg/ha;0;0;0;0;2,616;13,28;2;3,618;5,9943024;16,0024;;0,698;1;0;0;0;0;;4,324;;0,257;;;;;4,581;2;;;;;;
D208;2;Thomaskali 7-21 ;Thomaskali 7-21 (5+4);kg/ha;0;0;0;0;3,05;17,43;4;3,017;6,98877;21,00315;;0,222;1;0;0;0;0;;3,478;;0,246;;;;;3,724;2;;;;;;
D133;2;Thomaskali 7-21-4;Thomaskali 7-21-4;kg/ha;0;0;0;0;3,05494;17,43331;3;2,41214;7,000089516;21,00713855;;0,223;1;0;0;0;0;;3,489;;0,247;;;;;3,736;2;;;;;;
D216;2;Thomaskali 8-15-6;;kg/ha;;;;;8;6;;4;18,3312;7,23;;0,223;1;0,0038;0,0061;0;0;;3,489;;0,247;;;;;3,736;2;;;;;;
D214;2;Thomasphosphat 8-15-6;Thomasphosphat 8-15-6;kg/ha;0;0;0;0;3,4912;3,6192;;0;7,99973568;4,361136;;0,285;1;0;0;0;0;;4,128;;0,237;;;;;4,364;2;;;;;;
D122;2;Triple-Superphosphat;Triple-Superphosphat;kg/ha;0;0;0;0;20,056;0;0;0;45,9563184;0;;0,467;1;0;0;0;0;0,361;14,69;0,048;1,997;0,035;0;0,472;0,066;17,669;2;;;;;;
D149;2;Yara Vita Raps;Yara Vita Raps;l/ha;4,6;;;;0;0;0;5,30672;0;0;;0,445;1,527;0,0038;0,0061;-0,748;0;;2,351;;0,058;;;;;2,409;2;;;;;;
